Simulation Run Number	T-R Separation Distance (m)	Time Delay (ns)	Received Power (dBm)	 Phase (rad)	Azimuth AoD (degree)	Elevation AoD (degree)	Azimuth AoA (degree)	Elevation AoA (degree)	Path Loss (dB)	RMS Delay Spread (ns)	
            1.0	          176.3	                 588	           -163.0	          5.9	             42	             -3.1	            156.1	                4	            169.7	             39.1
            1.0	          176.3	                 590	           -153.3	          2.5	             34	             -8.9	            205.3	               -3	            163.2	             26.4
            1.0	          176.3	                 593	           -154.9	          1.5	             68	              1.6	            175.8	               11	            164.9	              2.8
            1.0	          176.3	                 596	           -145.4	          1.2	            225	             -5.0	            161.8	                6	            155.4	              7.5
            1.0	          176.3	                 599	           -160.7	          0.1	            210	             -7.6	            212.5	                3	            168.8	             60.7
            1.0	          176.3	                 601	           -161.7	          0.3	             41	             -5.7	            154.6	                3	            169.7	             25.1
            1.0	          176.3	                 604	           -161.3	          4.3	            238	             -5.6	            211.1	               -4	            171.2	             53.4
            1.0	          176.3	                 607	           -169.3	          1.3	             47	             -2.0	            206.0	                1	            169.5	             77.0
            1.0	          176.3	                 610	           -164.0	          0.3	             39	             -7.0	            196.5	                1	            172.5	             30.2
            1.0	          176.3	                 613	           -175.1	          4.2	            202	             -3.5	            177.6	               10	            177.0	             55.2
            1.0	          176.3	                 616	           -163.5	          2.7	             80	             -2.5	            210.9	               -4	            173.4	             16.8
            1.0	          176.3	                 619	           -158.3	          1.1	            214	             -6.0	            158.6	                2	            166.4	             37.9
            1.0	          176.3	                 622	           -161.9	          1.3	             43	             -5.4	            206.0	               -5	            169.1	             63.8
            1.0	          176.3	                 625	           -170.7	          1.6	             34	             -5.1	            206.4	               -4	            164.9	             46.5
            1.0	          176.3	                 628	           -161.1	          4.1	             48	             -0.2	            202.4	               -5	            169.3	             70.5
            1.0	          176.3	                 631	           -165.8	          2.7	            196	             -4.3	            201.3	               -7	            174.9	             68.7
            1.0	          176.3	                 634	           -172.6	          1.9	             37	              0.5	            208.3	                2	            175.4	            110.4
            1.0	          176.3	                 638	           -179.2	          3.2	            221	             -4.8	            198.9	               -4	            180.0	            151.6
            1.0	          176.3	                 641	           -172.0	          5.5	             54	             -0.4	            161.3	                4	            171.8	             46.3
            1.0	          176.3	                 644	           -172.1	          4.4	             41	              1.5	            168.8	                6	            177.7	            145.8
            1.0	          176.3	                 647	           -170.5	          1.2	             30	              3.0	            163.3	                1	            174.3	             47.9
            1.0	          176.3	                 650	           -167.0	          3.5	             44	              0.6	            153.1	               13	            175.9	             31.6
            1.0	          176.3	                 653	           -165.5	          0.4	             36	              2.2	            162.8	                9	            174.6	             47.3
            1.0	          176.3	                 656	           -180.0	          3.6	             54	             -8.3	            176.1	                5	            188.5	             84.4
            1.0	          176.3	                 659	           -172.8	          5.9	            215	             -5.3	            162.6	               14	            171.0	             80.8
            1.0	          176.3	                 662	           -169.8	          6.2	            227	             -7.8	            182.2	                7	            178.9	            138.8
            1.0	          176.3	                 665	           -169.6	          3.9	             45	             -4.8	            213.5	               -2	            173.1	             56.1
            1.0	          176.3	                 669	           -178.3	          5.6	             38	              0.1	            159.1	                1	            175.4	             87.6
            1.0	          176.3	                 672	           -180.0	          3.6	             53	             -2.3	            169.2	                8	            177.5	            103.8
            1.0	          176.3	                 702	           -154.8	          2.4	            214	             -0.8	            208.7	                1	            164.4	             35.5
            1.0	          176.3	                 706	           -160.8	          3.3	             54	             -2.6	            204.2	               -2	            169.2	             60.8
            1.0	          176.3	                 710	           -158.6	          2.5	             60	              0.6	            211.0	                0	            168.4	             10.2
            1.0	          176.3	                 714	           -155.1	          2.0	            215	             -8.9	            155.1	               11	            164.6	             38.5
            1.0	          176.3	                 719	           -160.3	          3.8	             47	             -1.7	            210.0	                3	            169.3	             49.5
            1.0	          176.3	                 724	           -156.7	          0.5	             24	             -2.0	            159.4	                3	            166.4	             26.0
            1.0	          176.3	                 730	           -149.3	          0.7	            208	            -10.6	            204.9	               -7	            159.3	             10.1
            1.0	          176.3	                 735	           -158.9	          1.5	             50	              2.4	            162.5	                6	            168.6	             42.7
            1.0	          176.3	                 741	           -160.4	          1.8	            203	             -1.7	            169.3	                6	            167.9	             21.2
            1.0	          176.3	                 747	           -158.4	          5.0	            199	             -1.6	            167.4	                8	            167.2	             17.9
            1.0	          176.3	                 753	           -173.5	          3.7	            203	             -7.3	            201.9	               -0	            170.2	             35.5
            1.0	          176.3	                 760	           -171.6	          1.0	            206	             -2.0	            178.9	                7	            178.4	             48.4
            1.0	          176.3	                 809	           -163.9	          6.3	             30	             -7.8	            182.9	                7	            173.9	             28.0
            1.0	          176.3	                 813	           -175.1	          6.2	            217	             -7.6	            200.0	                2	            176.9	             70.6
            1.0	          176.3	                 820	           -164.9	          1.4	             24	             -4.2	            161.9	                8	            169.2	             48.6
            1.0	          176.3	                 829	           -165.4	          2.8	            217	             -1.7	            208.1	               -3	            166.6	             63.0
            1.0	          176.3	                 840	           -174.4	          2.8	            213	             -4.1	            217.1	                3	            172.3	             78.2
            1.0	          176.3	                 851	           -171.5	          4.7	             38	             -4.8	            208.0	               -4	            167.0	             62.5
            1.0	          176.3	                 864	           -179.6	          0.1	             62	              4.0	            208.3	                8	            177.5	             39.6
            1.0	          176.3	                 879	           -178.3	          2.0	            198	             -4.0	            201.7	               -2	            176.8	            102.2
            1.0	          176.3	                 894	           -180.0	          4.0	            221	             -9.0	            203.1	               -0	            178.6	            128.5
            1.0	          176.3	                 910	           -180.0	          5.4	             43	             -2.3	            207.3	               12	            180.8	            123.5
            1.0	          176.3	                 927	           -180.0	          3.8	             46	              4.2	            161.0	                6	            170.9	             55.1
            1.0	          176.3	                 945	           -180.0	          5.4	            216	            -11.3	            208.4	               -8	            168.0	             46.0
            1.0	          176.3	                 963	           -180.0	          4.2	            216	             -8.6	            224.9	               -2	            186.5	            164.5
            1.0	          176.3	                 983	           -180.0	          0.7	            223	             -0.1	            202.0	               -2	            178.3	            119.2
            1.0	          176.3	                1003	           -180.0	          4.9	             52	             -1.5	            196.9	                4	            180.5	            126.2
            1.0	          176.3	                1024	           -180.0	          3.8	             31	             -6.6	            216.0	               -4	            178.4	            173.8
            1.0	          176.3	                1045	           -180.0	          1.9	            200	             -8.9	            168.3	                9	            173.5	             50.3
            1.0	          176.3	                1067	           -180.0	          6.0	             47	             -1.6	            165.8	                3	            173.2	            101.9
            1.0	          176.3	                1090	           -180.0	          2.3	             40	             -3.2	            162.3	               -0	            176.7	            137.3
            1.0	          176.3	                1113	           -180.0	          0.1	             59	             -5.5	            164.6	               13	            185.1	            221.3
            1.0	          176.3	                1137	           -180.0	          5.4	            206	             -7.5	            181.4	               20	            186.9	            216.4
            1.0	          176.3	                1162	           -180.0	          5.2	             30	             -2.1	            174.5	               -3	            188.3	            216.5
            1.0	          176.3	                1187	           -180.0	          0.8	             38	             -4.7	            164.0	                4	            177.4	            155.3
            1.0	          176.3	                1213	           -180.0	          4.1	            224	            -11.3	            161.2	                4	            160.8	             23.5
            1.0	          176.3	                1239	           -180.0	          4.6	             40	              0.3	            212.0	               10	            181.2	            187.4
            1.0	          176.3	                1266	           -180.0	          1.4	             40	             -4.8	            205.9	                2	            170.3	             91.5
            1.0	          176.3	                1293	           -180.0	          2.6	            217	             -3.8	            160.9	               16	            171.6	             95.9
            1.0	          176.3	                1321	           -180.0	          2.5	            226	             -8.5	            202.8	                9	            185.1	            334.8
            1.0	          176.3	                1349	           -180.0	          4.5	            231	             -3.9	            215.3	               -7	            180.8	            277.9
