Simulation Run Number	T-R Separation Distance (m)	Time Delay (ns)	Received Power (dBm)	 Phase (rad)	Azimuth AoD (degree)	Elevation AoD (degree)	Azimuth AoA (degree)	Elevation AoA (degree)	Path Loss (dB)	RMS Delay Spread (ns)	
            1.0	           34.9	                 116	            -69.3	          5.4	             25	             -3.5	            205.2	                3	             79.3	              0.0
            1.0	           34.9	                 125	            -92.8	          0.5	            152	             22.6	            208.3	               -8	            102.7	              0.6
            2.0	            8.1	                  27	            -64.8	          2.2	             15	             -3.2	            194.7	                3	             74.8	              0.1
            2.0	            8.1	                  38	            -76.4	          4.0	            332	             -8.9	            191.8	              -21	             86.4	              0.1
            2.0	            8.1	                  40	            -86.6	          3.7	            323	              8.3	            191.8	               18	             96.6	              0.4
            2.0	            8.1	                  51	            -65.1	          4.4	             16	             12.1	            175.8	              -42	             75.1	              0.6
            2.0	            8.1	                  64	            -90.0	          2.5	             23	              4.5	            220.9	              -22	             99.9	              4.5
            2.0	            8.1	                  67	            -96.8	          4.8	              6	             10.8	            183.8	              -28	            106.2	              6.8
            2.0	            8.1	                  74	           -110.8	          1.5	              3	             22.3	            175.0	               -9	            118.5	             13.0
            2.0	            8.1	                  92	            -72.0	          5.5	             15	             12.0	            176.3	                0	             82.0	              2.8
            2.0	            8.1	                 112	            -94.4	          2.8	             30	              8.2	            193.0	                6	            102.1	             41.9
            2.0	            8.1	                 140	            -94.5	          3.7	             12	            -10.5	            166.7	              -10	            103.8	             39.3
            2.0	            8.1	                 143	           -106.6	          0.2	              8	             18.1	            209.1	              -22	            113.6	             43.0
            2.0	            8.1	                 147	           -114.7	          3.9	             28	            -12.7	            200.9	                2	            109.3	             20.2
