T-R Separation Distance (m)	Received Power (dBm)	Path Loss (dB)	RMS Delay Spread (ns)	K-Factor (dB)	
          176.3	                   -139.6	          149.6	           65.2	                -1.9
          178.1	                   -140.1	          150.1	           21.0	                -1.6
          180.0	                   -140.7	          150.7	           51.3	                -6.0
          181.8	                   -141.6	          151.6	           36.4	                 6.6
          183.7	                   -141.9	          151.9	           40.7	                -1.9
          185.5	                   -142.6	          152.6	           44.9	                -5.6
          187.4	                   -143.0	          153.0	           55.7	                -5.6
          189.3	                   -143.7	          153.7	           38.7	                -0.4
          191.2	                   -144.0	          154.0	           34.9	                -0.4
          193.0	                   -144.1	          154.1	           51.1	                -0.0
          194.9	                   -144.3	          154.3	           33.7	                -3.5
          196.8	                   -144.2	          154.2	           28.9	                -3.0
          198.7	                   -143.9	          153.9	           61.0	                -4.1
          200.6	                   -143.5	          153.5	           30.7	                 5.0
          202.4	                   -143.1	          153.1	           27.0	                -4.4
          204.3	                   -142.8	          152.8	           33.8	                -0.0
          206.2	                   -142.8	          152.8	           36.0	                -0.1
          208.1	                   -142.8	          152.8	           43.7	                -0.5
          210.0	                   -142.7	          152.7	           58.4	                -5.8
          211.9	                   -142.7	          152.7	           17.1	                -3.8
          213.8	                   -142.4	          152.4	           38.4	                -4.5
          215.7	                   -142.1	          152.1	           33.8	                -3.2
          217.6	                   -141.9	          151.9	           48.2	                -2.4
